gewicht,voorrijs,rijen,ps,sigma
35.00,0.00,14.00,LSS,4.00
45.00,0.00,12.00,LSS,4.00
45.00,0.00,6.00,DSS,2.13
45.00,0.00,6.00,DSS,3.70
62.00,0.00,10.00,LSS,4.44
67.00,0.00,8.00,LSS,2.99
69.00,0.00,6.00,LSS,2.46
90.00,0.00,6.00,LSS,2.22
109.00,0.00,4.00,DSS,1.47
109.00,0.00,4.00,DSS,2.25
110.00,65.00,4.00,DSS,3.06
110.00,0.00,4.00,DSS,1.81
140.00,0.00,4.00,LSS,1.75
146.00,65.00,6.00,DSS,4.32
152.00,65.00,6.00,DSS,3.38
171.00,0.00,3.00,DSS,3.10
177.00,0.00,3.00,DSS,2.11
500.00,0.00,3.00,DSS,0.79
500.00,0.00,3.00,DSS,1.48
575.00,0.00,3.00,xpack,1.28
575.00,0.00,3.00,extruder,1.45
575.00,0.00,3.00,xpack,0.55
575.00,0.00,3.00,xpack,1.20
575.00,0.00,3.00,xpack,0.54
350.00,80.00,9.00,DSS,3.25
120.00,75.00,2.00,xpack,1.24
140.00,0.00,2.00,DSS,0.97
140.00,0.00,2.00,DSS,2.40
240.00,0.00,2.00,LSS,1.50
240.00,75.00,2.00,xpack,1.18
300.00,120.00,2.00,DSS,1.55
345.00,0.00,2.00,DSS,1.76
400.00,75.00,2.00,xpack,0.83
860.00,0.00,2.00,DSS,1.17
860.00,0.00,2.00,DSS,0.39
860.00,0.00,2.00,DSS,0.44
860.00,0.00,2.00,xpack,0.74
865.00,0.00,2.00,DSS,0.90
895.00,50.00,2.00,xpack,0.60
900.00,0.00,2.00,xpack,0.78
900.00,50.00,2.00,xpack,0.57
300.00,120.00,1.00,DSS,1.00
350.00,0.00,1.00,DSS,0.57
350.00,0.00,1.00,DSS,2.17
428.00,0.00,1.00,DSS,0.97
436.00,0.00,1.00,DSS,0.69
436.00,0.00,1.00,DSS,1.03
438.00,0.00,1.00,DSS,0.67
440.00,65.00,1.00,DSS,0.87
870.00,0.00,1.00,DSS,0.37
875.00,0.00,1.00,DSS,0.46
900.00,0.00,1.00,DSS,0.87
900.00,0.00,1.00,xpack,0.32
905.00,0.00,1.00,DSS,0.87
905.00,0.00,1.00,DSS,0.36
905.00,0.00,1.00,DSS,1.77
